Catégorie,ID,Difficulté,Temps,Etapes,Materiaux,Image,
Salon,Biblio,Moyen,40min,"'""''-Etapes:--Commencez par dessiner votre étagère--Sur le dessin représenter les tasseaux avec des bâtons et des numéros qui seront aussi sur vos tasseaux--Mesurer puis découpez vos tasseaux après les avoir poncés--Vissez ensuite les tasseaux entre eux sur le sol par l’arrière--Attention à la longueur de vos vis.Fixez vos équerres dans les coins et bien répartis partout sur votre structure--Levez placez sur le mur à l’endroit désiré.Dessinez au crayon sur le mur où vous allez percer--Percez votre mur.Vissez au mur l''''étagère-''""'","-Materiaux:--5 tasseaux de 50 x 50 cm--Colle à bois et vis--10 fixations equerres de la taille souhaitée--5 vis et 5 écrous--une perceuse--une visseuse--un triple mètre--un crayon-",biblio.jpeg,"≈ 40€",4
Salon,Etageres,Difficile,45min,"'""''-Etapes:--Prenez les mesures de votre choix et découpez le contreplaqué en conséquence--Après avoir effectué les coupes.Fixez les différentes pièces de contreplaqué avec de la colle afin de façonner les pièces en un échafaudage--Ensuite fixez les pièces frontales et latérales sur le haut d''''un côté de l''''étagère--Après ce séchage il est temps de fixer l''''autre côté de l''''étagère--Une fois les mesures prises couper une latte de bois similaire à la longueur de l''''étagère flottante et une latte de bois tous les 30 cm de la longueur de l''''étagère--Une fois les marques faites il ne vous reste plus qu''''à fixer les vis à bois à tous les morceaux de lattes de bois à l''''aide de colle--Le nombre de trous à percer dépend de la taille de l''''étagère flottante--Une fois les trous ont marqués positionnez la structure intérieure sur le mur et percez les. Ajoutez ensuite les chevilles--Vous devez fixer la structure intérieure au mur et placez l''''étagère flottante sur celle ci et la fixer avec de la colle-''""'","-Materiaux:--Contreplaqué de 6 mm--Lattes de bois de 45 mm x 25 mm--Ruban à mesurer--Perceuse électrique--Chevilles et vis murales--Tournevis électrique--Vis à bois--Colle à bois--Scie-",etageres.jpeg,"≈ 45€",3
Salon,Portemanteau,"Très Facile",15min,"'""''-Etapes:--Définir la hauteur que vous souhaitez pour vos tiges--Prenez en compte le fait que les tiges seront de biais--Une fois vos hauteurs choisies munissez vous de votre scie et coupez les 4 tiges en bois--Effectuez les différentes délimitations avec de l’adhésif de masquage puis peignez--Enlevez l’adhésif de masquage avant que la peinture ne sèche--Laissez sécher puis formez un carré avec les 4 pieds--A l’intersection du croisement des tiges enroulez bien votre corde et serrez--Ecartez les pieds pour installer le portemanteau afin qu''''il soit équilibré--Installer votre porte manteau-''""'","-Materiaux:--Corde--4 tiges en bois--Adhésif de masquage--Peinture à bois--Une scie à bois-",portemanteau.jpeg,"≈ 20€",5
Salon,Tablebasse,Moyen,45min,"'""''-Etapes:--Poncer la palette à l''''aide de la ponceuse en faisant des mouvements circulaires--Prendre les mesures necessaires selon l''''espace dont vous avez besoin à l''''aide du metre du crayon et de l''''equerre--Suite aux mesures prises decouper à la scie les planches de bois dont vous avez besoin--Fixer les planches entre elles à l''''aide du marteau de la perceuse des vis des clous--Inserer les tiroirs à l''''interieur de la table basse à l''''aide des cornieres--Visser les roulettes dans les coins en vérifiant la stabilité de la table. Voila la table est prête-''""'","-Materiaux:--Mètre--Crayon--Equerre--Ponceuse--Marteau--1 jeu de 4 roulettes--Visseuse--Clous et vis à bois--Fine plaque de bois--Scie--Cornieres en metal-",tablebasse.jpeg,"≈ 35€",4.5
Jardin,Balancoire,Facile,30min,"'""''-Etapes:--Découpez 2 morceaux de 60 cm de long que vous placerez ensuite à côté pour former un rectangle de 60x30 cm--Puis découpez les deux tasseaux de 30 cm chacun avec le reste de la planche vous devriez obtenir 2 tasseaux de 30x7.5 cm. Ensuite vous devez poncer tous les angles des pièces de bois--Positionnez les tasseaux à l''''extrémité et laissez dépasser un centimètre de la planche d''''assise puis utilisez le serre joint pour assembler momentanément l''''ensemble--Avec le foret faites un avant trou pour chaque vis un demi centimètre de profondeur est largement suffisant. Les trous se positionnent aux extrémités afin d''''assurer le maintien de la planche. Puis faites en 4 de chaque côté--Avant de percer attention à la profondeur vous devez juste faciliter l''''entrée du corps des vis de fixation vous ne devez pas déboucher de l''''autre côté--La fixation s''''achève les têtes des vis disparaissent dans le tasseau. A l''''aide de l''''équerre et d''''un crayon reportez l''''axe central du tasseau du dessous sur la planche du dessus--Puis effectuer un perçage par le dessus qui ressortira dessous. En suivant l''''axe tracé mesurez 6cm en partant du bord extérieur--Après avoir positionné le serre joint et insérer la mèche de 18 dans la perceuse. Puis forer par le dessus--Découpez la corde à l''''aide d''''un couteau. On utilisera du scotch pour éviter aux bouts coupés de s''''effilocher--Couper 2 bouts de 2 m pour la stabilité de l''''assise et 2 autres bouts de 3 m pour fixer la balançoire--Prenez un bout de 2 m dont vous passerez les extrémités dans chaque trou de l''''assise--Maintenant fixez la boucle de l''''assise sur l''''autre bout de 3 m grâce à un nœud. Puis fixer la balançoire-''""'","-Materiaux:--Une planche de bois 150x15x2.5cm--Une scie--Une perceuse ou visseuse électrique--Une mèche à bois plate de 18 mm--Un foret à bois de 4--8 vis à bois 5x40cm--Une corde de 10 m en polypropylène de 18 mm de diamètre--Une équerre--Un crayon--Un mètre--Du papier de verre--Un couteau--Un serre--joint--Une ponceuse électrique-",balancoire.jpeg,"≈ 20€",4
Jardin,Niche,Difficile,2h,"-Etapes:--Pour le sol de la niche découpez à l’aide d’une scie circulaire une planche de 95 cm de longueur et de 65 cm de largeur--Pour la structure coupez les tasseaux à la hauteur souhaitée selon la hauteur de la niche choisie et à environ 4 cm de largeur--Vissez les aux quatre coins de la planche précédente--Prenez des planches en bois et vissez les sur les tasseaux de sorte à fermer les trois côtés de la niche--Pour la porte alignez des planches et dessinez en arrondi une porte puis découpez la à l’aide de la scie circulaire--Ensuite vissez les planches--Pour le toit il suffit seulement d’une planche aux dimensions plus élevées si possible que le sol--Ajoutez en horizontale des tasseaux épais pour surélever un peu le toit puis vissez les-","-Materiaux: --Des planches de bois--Une scie circulaire--Une perceuse/visseuse--Une équerre de menuisier--Un mètre ruban et un crayon--Des vis-",niche.jpeg,"≈ 20€",1
Jardin,Fauteuil,Facile,30min,"'""''-Etapes:--A l''''aide de la scie sauteuse commencez par découper les sections nécessaires aux montants de l''''assise soit 2 sections de 110 cm et 2 sections de 32 cm--Prenez une section de chaque longueur positionnez les comme sur la photo pour régler l''''inclinaison de l''''assise--Tracez un repère au crayon pour marquer l''''angle de la grande lame sur la petite--Positionnez ensuite les 2 sections à plat en alignant la grande sur le repère précédemment tracé--Percez les 2 planches l''''une sur l''''autre en 2 endroits--Percez les 2 sections restantes pour réaliser le second montant de l''''assise--Il doit être strictement identique au premier pour assurer l''''équilibre du fauteuil--Pour cela positionnez la petite lame déjà percée à l''''étape précédente sur la seconde lame de même taille et percez au travers des trous déjà réalisés--Répétez l''''opération avec les 2 grandes lames--Assemblez les montants à l''''aide des boulons et des écrous en les serrant bien à l''''aide d''''une clef--Prenez garde au sens d''''assemblage : pour chaque montant la petite section doit se trouver à l''''intérieur du fauteuil--L''''écrou se trouve donc également à l''''intérieur du fauteuil--À l''''aide de la scie découpez 17 lattes de 65 cm dans les lames de bois--Positionnez les 2 montants de l''''assise parallèle à 65 cm de distance et placez une première latte perpendiculaire sur le dessus comme sur la photo--Vissez la latte aux montants par le dessus à l''''aide de 2 vis de chaque côté--Clouez ensuite 5 autres lattes sur les montants pour réaliser l''''assise en les espaçant de façon régulière--Pour cela placez à chaque fois une latte sur la tranche entre la latte que vous souhaitez clouer et la précédente comme sur la photo--Une fois l''''assise réalisée ajoutez 2 lattes sur le devant en procédant de la même manière--Fixez les montants du dossier--Pour cela prenez 2 lattes de 65 cm positionnez les à angle droit des montants de l''''assise en alignant les bords--Vissez les ensuite par l''''intérieur en plusieurs points en vissant les vis en biais pour plus de solidité--Clouez ensuite une latte derrière les montants du dossier comme sur la photo--Pour renforcer la fixation du dossier percez 2 trous au niveau de la jonction entre les montants de l''''assise et ceux du dossier à l''''aide de la mèche à bois et insérez les boulons et écrous--Fixez les lattes au dossier puis renversez le fauteuil pour travailler plus facilement--Clouez chaque latte en les espaçant de façon régulière en procédant de la même manière que pour celles de l''''assise à l''''étape 8-''""'","-Matériaux:--Des planches en bois--1 perceuse visseuse--1 scie sauteuse--Des vis inox A2--Des clous à tête plate--1 marteau--1 crayon et 1 mètre--8 écrous et boulons inox--1 foret à bois-",fauteuil.jpeg,"≈ 15€",4
Jardin,"Table de jardin",Facile,35min,"'""''-Etapes:--Poncer la palette en bois et les planches--Si pas de planches nous allons retirer les planches de la deuxième plaquettes en bois--Venir positionner les planches dans les trous de la palette pour les combler--Clouer les planches supplémentaires à l’aide des clous et du marteau--Fabriquer les en épingle avec du métal de soudure--Vernir ou peindre la palette. Si vous n''''avez pas de quoi faire les pieds vous pouvez visser votre palette sur une autre palette pour que votre table soit plus haute-''""'","'""''-Materiaux:--Une palette en bois--Planches en bois ou planche d''''une seconde palette--Ponceuse ou papier ponce--20 clous--15 vis--Marteaux--une visseuse ou un tournevis--un vernis ou peinture-''""'",tabledejardin.jpeg,"≈ 15€"
Chambre,Bureau,Facile,1h,"-Etapes:--À l’aide d’un tissu éponge laissez bien sécher--Astuce : Le plan de travail peut être fait en récup avec par exemple une vieille planche ou une vieille porte--Décidez les positions des 4 pieds et marquez les points à percer sur le revers du plan de travail--Percez des avant trous. Insérez les vis dans les trous et serrez avec un cliquet--Retournez attentivement le bureau et ça y est !-","-Materiaux:--Pieds en épingle--Plan de travail--Huile pour bois--Perceuse-",bureau.jpeg,"≈ 25€",1
Chambre,Etagère,Moyen,"1 heure","-Etapes:--Commencez par prendre les dimensions pour obtenir 5 tourillons de 8 cm de longueur--Collez votre miroir sur la grande planche de bois à l’emplacement de votre choix et appuyez fortement--Collez votre planchette (30x10cm) à l’aide de votre colle à environ un tiers de la longueur--Il faut qu’elle soit placée sous le miroir--Maintenez le collage 2 minutes--Une fois votre petite planchette collée marquez l’emplacement de vos cinq tourillons sous la planchette--Puis collez les tourillons--Laissez sécher votre étagère pendant 24H avant de la visser au mur-","-Materiaux:--1 planche de bois contreplaqué de bois (conseil : 30 X 63 cm.)--1 petite planche de bois contreplaqué (conseil :30 x 10 cm)--1 tube de colle à bois séchage rapide--1 mètre ruban--1 miroir rond petit--1 scie--1 tourillon en bois de 2 cm de diamètre-",etagere.jpeg,"≈ 25€"
